Grid_ID,Ag/NonAg_m,agri_class
589081,1.000000000000000,1
972003,0.977600000000000,1
599606,1.000000000000000,1
712108,1.000000000000000,1
806204,0.891200000000000,1
861683,0.616000000000000,1
231274,0.600000000000000,1
229102,0.600000000000000,1
732783,0.580800000000000,1
618580,0.920000000000000,1
101920,0.982400000000000,1
544857,1.000000000000000,1
904392,1.000000000000000,1
354446,1.000000000000000,1
962166,1.000000000000000,1
235916,1.000000000000000,1
509828,1.000000000000000,1
890004,1.000000000000000,1
447487,1.000000000000000,1
9562,1.000000000000000,1
786440,1.000000000000000,1
742551,1.000000000000000,1
218521,1.000000000000000,1
927488,1.000000000000000,1
725977,1.000000000000000,1
484671,1.000000000000000,1
394560,1.000000000000000,1
229884,1.000000000000000,1
306267,0.918400000000000,1
183858,0.515200000000000,1
84441,0.803200000000000,1
372706,1.000000000000000,1
714190,1.000000000000000,1
148173,0.777600000000000,1
649463,1.000000000000000,1
497897,0.475200000000000,0
889135,0.660800000000000,1
29854,0.843200000000000,1
909082,0.985600000000000,1
109627,1.000000000000000,1
411,1.000000000000000,1
47930,1.000000000000000,1
289151,1.000000000000000,1
890129,1.000000000000000,1
609061,0.553600000000000,1
155482,0.433600000000000,0
434875,1.000000000000000,1
143587,0.995200000000000,1
633673,0.928000000000000,1
860764,0.995200000000000,1
384408,1.000000000000000,1
427676,1.000000000000000,1
25534,1.000000000000000,1
875999,0.998400000000000,1
397961,1.000000000000000,1
116396,1.000000000000000,1
477538,1.000000000000000,1
439832,0.974400000000000,1
430739,1.000000000000000,1
695238,0.987200000000000,1
224080,1.000000000000000,1
521804,1.000000000000000,1
497879,1.000000000000000,1
718242,1.000000000000000,1
191978,1.000000000000000,1
64923,1.000000000000000,1
211274,1.000000000000000,1
696001,1.000000000000000,1
901395,1.000000000000000,1
675013,1.000000000000000,1
526953,1.000000000000000,1
428559,1.000000000000000,1
901104,1.000000000000000,1
593441,1.000000000000000,1
104975,1.000000000000000,1
980202,1.000000000000000,1
