agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,228.86111111111111,1.646477243138684,40.26,25.14,1.51,30.585817386968703
1,228.953125,1.431451845914125,40.42,25.4,1.52,30.000000000000007
1,229.09375,1.83770630788058,40.47,25.29,1.52,30.085240483813426
1,228.5,1.551933479805787,40.61,25.49,1.51,31.44691400198268
1,228.828125,1.596643938682973,40.52,25.6,1.51,31.0
1,228.9375,2.551926544867456,40.97,26.34,1.51,30.0
1,227.609375,2.209364084526896,41.34,26.33,1.53,30.507612378806154
1,228.96875,1.607833181507885,37.31,24.38,1.53,30.999999999999996
1,229.11111111111111,1.183126240968704,37.38,24.34,1.52,30.612281924071443
1,226.38888888888889,1.978304082320796,37.59,25.2,1.52,30.604061124442445
1,225.75,1.427665532566607,37.58,25.22,1.52,31.88891413068885
1,224.70833333333331,0.963068650828467,37.55,25.36,1.51,31.125983497325866
0,224.59722222222223,1.537461679014895,37.56,24.23,1.52,30.129252670158557
1,223.265625,2.061330527067184,37.28,25.58,1.51,29.999999999999996
1,223.984375,1.910682555288076,38.62,26.58,1.51,29.090773803022664
1,222.73611111111111,1.696318042774995,38.45,27.52,1.51,29.039501052847346
1,227.140625,2.25595367513597,39.67,27.81,1.52,31.0
1,228.40277777777777,1.767791398697429,38.49,27.26,1.52,31.0
1,228.1875,1.675176589749753,38.39,27.32,1.51,30.47401797375849
1,228.15625,2.225560955703259,38.0,27.45,1.51,33.0
1,228.546875,1.714623936451972,37.9,27.74,1.5,33.0
1,229.91666666666663,1.834710217184491,37.81,28.1,1.5,32.74253818937872
1,228.109375,1.760382553562522,37.4,27.7,1.52,31.0
1,227.15625,1.902908839285374,37.59,27.04,1.53,31.0
1,225.97222222222223,2.2293202198214,37.59,27.34,1.53,30.448201799772846
1,228.125,1.624763601459563,37.49,27.48,1.5,31.0
1,229.46875,1.766408951021731,37.78,27.98,1.5,31.27976253835729
1,230.046875,2.080046895891428,38.18,26.89,1.5,30.023298181058856
1,229.83333333333331,2.623995731274287,37.57,27.08,1.51,30.0
1,229.95833333333331,1.712600150869952,37.23,26.92,1.52,30.70446101771164
1,227.26388888888889,1.820120026667913,38.05,26.91,1.53,32.0
1,230.171875,2.331754472106695,37.61,26.91,1.53,31.123925628421315
1,229.578125,2.564389400184155,37.44,26.59,1.53,30.511649544211167
1,229.921875,1.619563012383878,37.06,26.21,1.52,30.189586241845728
1,229.515625,1.915169779211283,41.32,26.34,1.52,30.0
